uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"5381269c-6255-4b5b-b156-76b1c75d89c6","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10961",,"ok","small tree","Live",2.9,130,,4.4,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"818f83b4-9c15-4a89-ae17-2ad6fa80d891","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10960",,"ok","sapling","Live",,,,1.1,,,,,,,,1.2,10,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"bbbc6f27-7714-4ad9-9226-1e6de2212fe4","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10932",,"ok","liana","Live",1.3,130,,,,,,,,,,,,,,,,,,,,,,"A","0000-0002-8839-6825","0000-0002-9190-7358",
"d37b2f3e-7428-4d3f-9fdd-15fcdb01a6eb","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10895",,"ok","small shrub","Live",,,,1.4,,,,0.5,0.5,,"cylinder",1.4,10,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"f2ac0af1-b47a-4061-a62f-661c7ccfcfc0","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10898",,"ok","small tree","Live",7.1,130,,6.7,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"2f1406be-6383-4b0d-a498-e11c92931224","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10965",,"ok","single bole tree","Live",23.2,130,,15.1,,,,9.8,6.9,"Full sun",,,,,,,,,,,,,,"Diameter includes attached lianas","0000-0002-8839-6825","0000-0002-9190-7358",
"1cd9ea9a-5225-4edc-b2e1-6e98a8879205","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10878",,"ok","small tree","Live",2.0,130,,2.9,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"c530fcc4-af91-47de-b2db-6161edc062b1","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10945",,"ok","liana","Live",2.7,130,,,,,,,,,,,,,,,,,,,,,,"A","0000-0002-8839-6825","0000-0002-9190-7358",
"75b97034-7869-4a53-aaa2-3886ba6014f4","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.10972",,"ok","small tree","Live",1.4,130,,2.5,,,,,,,,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
"5ceea9ce-df31-4fae-8420-e025e175e5ac","DELA_021.basePlot.vst","2019-12-04","vst_DELA_2019","D08","DELA","DELA_021",,"NEON.PLA.D08.DELA.11628A",,"ok","multi-bole tree","Live, physically damaged",20.4,130,,20.5,,,,8.9,7.6,"Full sun",,,,,,,,,,,,,,,"0000-0002-8839-6825","0000-0002-9190-7358",
