uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataQF
"b58e98d2-37f1-42cc-bf8e-ad13819d245d","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.08279",,"ok","single shrub","Live",1.9,130,,3.2,,,,2.7,1.4,,"inverted cone",3.3,20,0.20,0.10,,,,,,,,,"Ddh stem too close to measure at .1","0000-0003-0607-4441","0000-0003-0591-0540",
"a5d23de8-8794-4970-98f1-adffa65197ae","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05841",,"ok","small shrub","Live",,,,2.0,,,,1.0,0.8,,"inverted cone",1.9,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"abf07475-27b1-453c-a0e9-c1f8a9c656a3","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.04968",,"ok","single bole tree","Live",12.0,130,,4.0,,,,3.2,2.3,"Partially shaded",,,,,,,,,,,,,,"Already marked but no existing tag. Check for coordinates that match from cfc trees or other tags.","0000-0003-0607-4441","0000-0003-0591-0540",
"c426d43e-d8c6-467a-85e5-0b8d787c8fa8","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05648",,"ok","single shrub","Standing dead",3.4,140,,3.2,,,,2.5,2.3,,"inverted cone",3.5,20,0.18,0.70,,,,,,,,,"Nearby stems block measurement at 10cm","0000-0003-0607-4441","0000-0003-0591-0540",
"44ca5985-3493-4c6e-8576-8e8443a42be6","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05621",,"ok","small shrub","Live",,,,1.5,,,,1.4,1.2,,"inverted cone",3.1,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"7a670a56-8d77-4a7f-a69a-dcebe8ee02e4","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05684",,"ok","small shrub","Standing dead",,,,1.5,,,,1.9,1.6,,"inverted cone",2.0,10,0.20,0.12,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"da1a753e-38af-4896-9b34-9a864ad02e71","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05831",,"ok","small shrub","Live",,,,1.1,,,,1.2,0.9,,"inverted cone",1.7,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"96a5e7ac-0121-4053-8cad-c4c9b3029df9","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.08279",,"ok","single shrub","Live",2.5,130,,3.2,,,,2.7,1.4,,"inverted cone",2.9,10,0.20,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"fa3ec3dc-b1f0-48e3-b11a-7acb35fb7c8f","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05616",,"ok","small shrub","Live",,,,1.5,,,,1.2,1.0,,"inverted cone",3.9,10,0.40,0.20,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"3a7454ce-2347-42cf-b42e-7062f6c0482d","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05648",,"ok","single shrub","Live",1.4,130,,3.2,,,,2.5,2.3,,"inverted cone",2.0,10,0.18,0.70,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"d8202bca-588d-4e48-af42-37af4555bf03","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05836",,"ok","single shrub","Live",1.1,130,,2.1,,,,2.2,1.4,,"inverted cone",3.7,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"b880c79a-6c90-4d53-bd18-af75022e2694","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05830",,"ok","small shrub","Live",,,,2.2,,,,1.1,1.0,,"inverted cone",1.8,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"cb4268e5-d968-420d-a566-d9e609f92ac0","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05830",,"ok","small shrub","Live",,,,2.2,,,,1.1,1.0,,"inverted cone",2.0,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
"8bd8d7dd-67ca-413a-9468-ba447daff6eb","SOAP_009.basePlot.vst","2019-06-26","vst_SOAP_2019","D17","SOAP","SOAP_009",,"NEON.PLA.D17.SOAP.05840",,"ok","single shrub","Live",1.4,130,,2.2,,,,1.3,1.2,,"inverted cone",5.2,10,0.10,0.10,,,,,,,,,,"0000-0003-0607-4441","0000-0003-0591-0540",
